sepal_length,sepal_width,petal_length,petal_width,petal_area,species
5.1,3.5,1.4,0.19999999999999996,0.28000000000000114,0
4.9,3.0,1.4,0.19999999999999996,0.28000000000000114,0
4.7,3.2,1.2999999999999998,0.19999999999999996,0.2599999999999998,0
4.6,3.1,1.5,0.19999999999999996,0.2999999999999998,0
5.0,3.6,1.4,0.19999999999999996,0.28000000000000114,0
5.4,3.9,1.7000000000000002,0.4,0.6799999999999997,0
4.6,3.4,1.4,0.29999999999999993,0.41999999999999993,0
5.0,3.4,1.5,0.19999999999999996,0.2999999999999998,0
4.4,2.9,1.4,0.19999999999999996,0.28000000000000114,0
4.9,3.1,1.5,0.10000000000000009,0.15000000000000036,0
5.4,3.7,1.5,0.19999999999999996,0.2999999999999998,0
4.8,3.4,1.6,0.19999999999999996,0.3200000000000003,0
4.8,3.0,1.4,0.10000000000000009,0.13999999999999968,0
4.3,3.0,1.1,0.10000000000000009,0.11000000000000032,0
5.8,4.0,1.2000000000000002,0.19999999999999996,0.2400000000000002,0
5.7,4.4,1.5,0.4,0.6000000000000005,0
5.4,3.9,1.2999999999999998,0.4,0.5199999999999996,0
5.1,3.5,1.4,0.29999999999999993,0.41999999999999993,0
5.7,3.8,1.7000000000000002,0.29999999999999993,0.5099999999999998,0
5.1,3.8,1.5,0.29999999999999993,0.4500000000000002,0
5.4,3.4,1.7000000000000002,0.19999999999999996,0.33999999999999897,0
5.1,3.7,1.5,0.4,0.6000000000000005,0
4.6,3.6,1.0,0.19999999999999996,0.20000000000000018,0
5.1,3.3,1.7000000000000002,0.5,0.8499999999999996,0
4.8,3.4,1.9,0.19999999999999996,0.3799999999999999,0
5.0,3.0,1.6,0.19999999999999996,0.3200000000000003,0
5.0,3.4,1.6,0.4,0.6400000000000006,0
5.2,3.5,1.5,0.19999999999999996,0.2999999999999998,0
5.2,3.4,1.4,0.19999999999999996,0.28000000000000114,0
4.7,3.2,1.6,0.19999999999999996,0.3200000000000003,0
4.8,3.1,1.6,0.19999999999999996,0.3200000000000003,0
5.4,3.4,1.5,0.4,0.6000000000000005,0
5.2,4.1,1.5,0.10000000000000009,0.15000000000000036,0
5.5,4.2,1.4,0.19999999999999996,0.28000000000000114,0
4.9,3.1,1.5,0.19999999999999996,0.2999999999999998,0
5.0,3.2,1.2000000000000002,0.19999999999999996,0.2400000000000002,0
5.5,3.5,1.2999999999999998,0.19999999999999996,0.2599999999999998,0
4.9,3.6,1.4,0.10000000000000009,0.13999999999999968,0
4.4,3.0,1.2999999999999998,0.19999999999999996,0.2599999999999998,0
5.1,3.4,1.5,0.19999999999999996,0.2999999999999998,0
5.0,3.5,1.2999999999999998,0.29999999999999993,0.39000000000000057,0
4.5,2.3,1.2999999999999998,0.29999999999999993,0.39000000000000057,0
4.4,3.2,1.2999999999999998,0.19999999999999996,0.2599999999999998,0
5.0,3.5,1.6,0.6,0.96,0
5.1,3.8,1.9,0.4,0.7599999999999989,0
4.8,3.0,1.4,0.29999999999999993,0.41999999999999993,0
5.1,3.8,1.6,0.19999999999999996,0.3200000000000003,0
4.6,3.2,1.4,0.19999999999999996,0.28000000000000114,0
5.3,3.7,1.5,0.19999999999999996,0.2999999999999998,0
5.0,3.3,1.4,0.19999999999999996,0.28000000000000114,0
7.0,3.2,4.7,1.4,6.58,1
6.4,3.2,4.5,1.5,6.75,1
6.9,3.1,4.9,1.5,7.3500000000000005,1
5.5,2.3,4.0,1.3,5.2,1
6.5,2.8,4.6,1.5,6.8999999999999995,1
5.7,2.8,4.5,1.3,5.8500000000000005,1
6.3,3.3,4.7,1.6,7.5200000000000005,1
4.9,2.4,3.3,1.0,3.3000000000000003,1
6.6,2.9,4.6,1.3,5.9799999999999995,1
5.2,2.7,3.9,1.4,5.46,1
5.0,2.0,3.5,1.0,3.5,1
5.9,3.0,4.2,1.5,6.300000000000001,1
6.0,2.2,4.0,1.0,4.0,1
6.1,2.9,4.7,1.4,6.58,1
5.6,2.9,3.6,1.3,4.680000000000001,1
6.7,3.1,4.4,1.4,6.16,1
5.6,3.0,4.5,1.5,6.75,1
5.8,2.7,4.1,1.0,4.1,1
6.2,2.2,4.5,1.5,6.75,1
5.6,2.5,3.9,1.1,4.29,1
5.9,3.2,4.8,1.8,8.64,1
6.1,2.8,4.0,1.3,5.2,1
6.3,2.5,4.9,1.5,7.3500000000000005,1
6.1,2.8,4.7,1.2,5.64,1
6.4,2.9,4.3,1.3,5.59,1
6.6,3.0,4.4,1.4,6.16,1
6.8,2.8,4.8,1.4,6.72,1
6.7,3.0,5.0,1.7,8.5,1
6.0,2.9,4.5,1.5,6.75,1
5.7,2.6,3.5,1.0,3.5,1
5.5,2.4,3.8,1.1,4.18,1
5.5,2.4,3.7,1.0,3.7,1
5.8,2.7,3.9,1.2,4.68,1
6.0,2.7,5.1,1.6,8.16,1
5.4,3.0,4.5,1.5,6.75,1
6.0,3.4,4.5,1.6,7.2,1
6.7,3.1,4.7,1.5,7.050000000000001,1
6.3,2.3,4.4,1.3,5.720000000000001,1
5.6,3.0,4.1,1.3,5.33,1
5.5,2.5,4.0,1.3,5.2,1
5.5,2.6,4.4,1.2,5.28,1
6.1,3.0,4.6,1.4,6.4399999999999995,1
5.8,2.6,4.0,1.2,4.8,1
5.0,2.3,3.3,1.0,3.3000000000000003,1
5.6,2.7,4.2,1.3,5.460000000000001,1
5.7,3.0,4.2,1.2,5.04,1
5.7,2.9,4.2,1.3,5.460000000000001,1
6.2,2.9,4.3,1.3,5.59,1
5.1,2.5,3.0,1.1,3.3000000000000003,1
5.7,2.8,4.1,1.3,5.33,1
6.3,3.3,6.0,2.5,15.0,2
5.8,2.7,5.1,1.9,9.69,2
7.1,3.0,5.9,2.1,12.39,2
6.3,2.9,5.6,1.8,10.08,2
6.5,3.0,5.8,2.2,12.76,2
7.6,3.0,6.6,2.1,13.86,2
4.9,2.5,4.5,1.7,7.6499999999999995,2
7.3,2.9,6.3,1.8,11.34,2
6.7,2.5,5.8,1.8,10.44,2
7.2,3.6,6.1,2.5,15.25,2
6.5,3.2,5.1,2.0,10.2,2
6.4,2.7,5.3,1.9,10.069999999999999,2
6.8,3.0,5.5,2.1,11.55,2
5.7,2.5,5.0,2.0,10.0,2
5.8,2.8,5.1,2.4,12.239999999999998,2
6.4,3.2,5.3,2.3,12.19,2
6.5,3.0,5.5,1.8,9.9,2
7.7,3.8,6.7,2.2,14.740000000000002,2
7.7,2.6,6.9,2.3,15.87,2
6.0,2.2,5.0,1.5,7.5,2
6.9,3.2,5.7,2.3,13.11,2
5.6,2.8,4.9,2.0,9.8,2
7.7,2.8,6.7,2.0,13.399999999999999,2
6.3,2.7,4.9,1.8,8.82,2
6.7,3.3,5.7,2.1,11.97,2
7.2,3.2,6.0,1.8,10.8,2
6.2,2.8,4.8,1.8,8.64,2
6.1,3.0,4.9,1.8,8.82,2
6.4,2.8,5.6,2.1,11.76,2
7.2,3.0,5.8,1.6,9.28,2
7.4,2.8,6.1,1.9,11.589999999999998,2
7.9,3.8,6.4,2.0,12.8,2
6.4,2.8,5.6,2.2,12.32,2
6.3,2.8,5.1,1.5,7.6499999999999995,2
6.1,2.6,5.6,1.4,7.839999999999999,2
7.7,3.0,6.1,2.3,14.029999999999998,2
6.3,3.4,5.6,2.4,13.44,2
6.4,3.1,5.5,1.8,9.9,2
6.0,3.0,4.8,1.8,8.64,2
6.9,3.1,5.4,2.1,11.340000000000002,2
6.7,3.1,5.6,2.4,13.44,2
6.9,3.1,5.1,2.3,11.729999999999997,2
6.8,3.2,5.9,2.3,13.57,2
6.7,3.3,5.7,2.5,14.25,2
6.7,3.0,5.2,2.3,11.959999999999999,2
6.3,2.5,5.0,1.9,9.5,2
6.5,3.0,5.2,2.0,10.4,2
6.2,3.4,5.4,2.3,12.42,2
5.9,3.0,5.1,1.8,9.18,2
